volcano_name;eruption_number;eruption_category;area_of_activity;vei;start_year;start_month;start_day;evidence_method_dating;end_year;end_month;end_day;latitude;longitude
Cameroon;14124;Confirmed Eruption;SW flank (2250 m) and NW flank;2;1868;0;0;Historical Observations;NA;NA;NA;4.203;Sep.17
Bam;14855;Discredited Eruption;NA;NA;1868;0;0;NA;NA;NA;NA;-3.613;144.818
Isluga;11824;Confirmed Eruption;NA;2;1868;0;0;Historical Observations;NA;NA;NA;-19.15;-68.83
San Miguel;10846;Confirmed Eruption;WSW flank (1000 m);2;1867;12;14;Historical Observations;1868;2;16;13.434;-88.269
Tengger Caldera;13450;Confirmed Eruption;Bromo;2;1867;12;13;Historical Observations;1868;1;12;-7.942;112.95
Tjornes Fracture Zone;12957;Confirmed Eruption;Immediately north of Manareyjar Island;NA;1867;12;0;Historical Observations;1868;1;0;66.309;-17.118
Negro, Cerro;10945;Confirmed Eruption;NE-SW-trending fissure;2;1867;11;14;Historical Observations;1867;11;30;12.506;-86.702
Zaozan [Zaosan];17976;Confirmed Eruption;Okama;2;1867;10;21;Historical Observations;NA;NA;NA;38.144;140.44
Shikotsu;18614;Confirmed Eruption;Tarumai;2;1867;9;8;Historical Observations;NA;NA;NA;42.688;141.38
Grimsvotn;12817;Confirmed Eruption;NA;1;1867;8;29;Historical Observations;NA;NA;NA;64.416;-17.316
Terceira;19962;Confirmed Eruption;Submarine vent 3-6 WNW of Terceira;3;1867;6;1;Historical Observations;1867;6;8;38.73;-27.32
Ubinas;11788;Confirmed Eruption;NA;2;1867;5;24;Historical Observations;1867;5;28;-16.355;-70.903
Semeru;15982;Confirmed Eruption;NA;2;1867;4;15;Historical Observations;1867;5;0;-8.108;112.922
Niuafo'ou;14788;Confirmed Eruption;SSW flank;1;1867;4;12;Historical Observations;NA;NA;NA;-15.6;-175.63
Izalco;10792;Confirmed Eruption;NA;2;1867;4;0;Historical Observations;1867;8;0;13.813;-89.633
Barva;11195;Uncertain Eruption;NA;NA;1867;3;0;NA;NA;NA;NA;10.135;-84.1
Baker;20462;Uncertain Eruption;Sherman Crater;NA;1867;3;0;NA;NA;NA;NA;48.777;-121.813
Iya;13708;Confirmed Eruption;NA;2;1867;1;0;Historical Observations;NA;NA;NA;-8.891;121.641
Campi Flegrei del Mar di Sicilia;13870;Confirmed Eruption;Pinne;0;1867;0;0;Historical Observations;NA;NA;NA;37.1;12.Jul
Fuego;10713;Uncertain Eruption;NA;2;1867;0;0;NA;NA;NA;NA;14.473;-90.88
Akutan;20006;Confirmed Eruption;NA;NA;1867;0;0;Historical Observations;NA;NA;NA;54.134;-165.986
Makushin;10462;Uncertain Eruption;NA;NA;1867;0;0;NA;NA;NA;NA;53.891;-166.923
Iliamna;20283;Confirmed Eruption;NA;2;1867;0;0;Historical Observations;NA;NA;NA;60.032;-153.09
Akita-Yakeyama;18080;Confirmed Eruption;NA;NA;1867;0;0;Historical Observations;NA;NA;NA;39.964;140.757
Cotopaxi;11572;Confirmed Eruption;NA;2;1867;0;0;Historical Observations;NA;NA;NA;-0.677;-78.436
Copahue;12003;Confirmed Eruption;NA;2;1867;0;0;Historical Observations;NA;NA;NA;-37.856;-71.183
Villarrica;12129;Uncertain Eruption;NA;NA;1867;0;0;NA;1868;0;0;-39.42;-71.93
Cotopaxi;11571;Confirmed Eruption;NA;2;1866;9;21;Historical Observations;1866;9;26;-0.677;-78.436
Gede-Pangrango;15652;Confirmed Eruption;NA;2;1866;9;18;Historical Observations;NA;NA;NA;-6.77;106.965
Ofu-Olosega;14804;Confirmed Eruption;Submarine vent 3 km SE of Olosega;2;1866;9;12;Historical Observations;1866;11;15;-14.175;-169.618
